id,image,main_image
1,Fruits-Apple-Golden-Delicious_Iconic.jpg,True
2,Fruits-Apple-Granny-Smith_Iconic.jpg,True
3,Fruits-Apple-Pink-Lady_Iconic.jpg,True
4,Fruits-Apple-Red-Delicious_Iconic.jpg,True
5,Fruits-Apple-Royal-Gala_Iconic.jpg,True
6,Fruits-Avocado_Iconic.jpg,True
7,Fruits-Banana_Iconic.jpg,True
8,Fruits-Kiwi_Iconic.jpg,True
9,Fruits-Lemon_Iconic.jpg,True
10,Fruits-Lime_Iconic.jpg,True
11,Fruits-Mango_Iconic.jpg,True
12,Fruits-Melon-Cantaloupe_Iconic.jpg,True
13,Fruits-Melon-Galia-Melon_Iconic.jpg,True
14,Fruits-Melon-Honeydew-Melon_Iconic.jpg,True
15,Fruits-Melon-Watermelon_Iconic.jpg,True
16,Fruits-Nectarine_Iconic.jpg,True
17,Fruits-Orange_Iconic.jpg,True
18,Fruits-Papaya_Iconic.jpg,True
19,Fruits-Passion-Fruit_Iconic.jpg,True
20,Fruits-Peach_Iconic.jpg,True
21,Fruits-Pear-Anjou_Iconic.jpg,True
22,Fruits-Pear-Conference_Iconic.jpg,True
23,Fruits-Pear-Kaiser_Iconic.jpg,True
24,Fruits-Pineapple_Iconic.jpg,True
25,Fruits-Plum_Iconic.jpg,True
26,Fruits-Pomegranate_Iconic.jpg,True
27,Fruits-Red-Grapefruit_Iconic.jpg,True
28,Fruits-Satsumas_Iconic.jpg,True
29,Packages-Arla-Sour-Milk_Iconic.jpg,True
30,Packages-Juice-Bravo-Apple-Juice_Iconic.jpg,True
31,Packages-Juice-Bravo-Orange-Juice_Iconic.jpg,True
32,Packages-Juice-God-Morgon-Apple-Juice_Iconic.jpg,True
33,Packages-Juice-God-Morgon-Orange-Juice_Iconic.jpg,True
34,Packages-Juice-God-Morgon-Orange-Red-Grapefruit-Juice_Iconic.jpg,True
35,Packages-Juice-God-Morgon-Red-Grapefruit-Juice_Iconic.jpg,True
36,Packages-Juice-Tropicana-Apple-Juice_Iconic.jpg,True
37,Packages-Juice-Tropicana-Golden-Grapefruit_Iconic.jpg,True
38,Packages-Juice-Tropicana-Juice-Smooth_Iconic.jpg,True
39,Packages-Juice-Tropicana-Mandarin-Morning_Iconic.jpg,True
40,Packages-Milk-Arla-Ecological-Medium-Fat-Milk_Iconic.jpg,True
41,Packages-Milk-Arla-Lactose-Medium-Fat-Milk_Iconic.jpg,True
42,Packages-Milk-Arla-Medium-Fat-Milk_Iconic.jpg,True
43,Packages-Milk-Arla-Standard-Milk_Iconic.jpg,True
44,Packages-Milk-Garant-Ecological-Medium-Fat-Milk_Iconic.jpg,True
45,Packages-Milk-Garant-Ecological-Standard-Milk_Iconic.jpg,True
46,Packages-Oatly-Natural-Oatghurt_Iconic.jpg,True
47,Packages-Oatly-Oat-Milk_Iconic.jpg,True
48,Packages-Sour-Cream-Arla-Ecological-Sour-Cream_Iconic.jpg,True
49,Packages-Sour-Cream-Arla-Sour-Cream_Iconic.jpg,True
50,Packages-Soyghurt-Alpro-Blueberry-Soyghurt_Iconic.jpg,True
51,Packages-Soyghurt-Alpro-Vanilla-Soyghurt_Iconic.jpg,True
52,Packages-Soy-Milk-Alpro-Fresh-Soy-Milk_Iconic.jpg,True
53,Packages-Soy-Milk-Alpro-Shelf-Soy-Milk_Iconic.jpg,True
54,Packages-Yoghurt-Arla-Mild-Vanilla-Yoghurt_Iconic.jpg,True
55,Packages-Yoghurt-Arla-Natural-Mild-Low-Fat-Yoghurt_Iconic.jpg,True
56,Packages-Milk-Garant-Ecological-Medium-Fat-Milk_Iconic.jpg,True
57,Packages-Yoghurt-Valio-Vanilla-Yoghurt_Iconic.jpg,True
58,Packages-Yoghurt-Yoggi-Strawberry-Yoghurt_Iconic.jpg,True
59,Packages-Yoghurt-Yoggi-Vanilla-Yoghurt_Iconic.jpg,True
60,Vegetables-Asparagus_Iconic.jpg,True
61,Vegetables-Aubergine_Iconic.jpg,True
62,Vegetables-Brown-Cap-Mushroom_Iconic.jpg,True
63,Vegetables-Cabbage_Iconic.jpg,True
64,Vegetables-Carrots_Iconic.jpg,True
65,Vegetables-Cucumber_Iconic.jpg,True
66,Vegetables-Garlic_Iconic.jpg,True
67,Vegetables-Ginger_Iconic.jpg,True
68,Vegetables-Leek_Iconic.jpg,True
69,Vegetables-Pepper-Green-Bell-Pepper_Iconic.jpg,True
70,Vegetables-Pepper-Orange-Bell-Pepper_Iconic.jpg,True
71,Vegetables-Pepper-Red-Bell-Pepper_Iconic.jpg,True
72,Vegetables-Pepper-Yellow-Bell-Pepper_Iconic.jpg,True
73,Vegetables-Potato-Floury-Potato_Iconic.jpg,True
74,Vegetables-Potato-Solid-Potato_Iconic.jpg,True
75,Vegetables-Potato-Sweet-Potato_Iconic.jpg,True
76,Vegetables-Red-Beet_Iconic.jpg,True
77,Vegetables-Tomato-Beef-Tomato_Iconic.jpg,True
78,Vegetables-Tomato-Regular-Tomato_Iconic.jpg,True
79,Vegetables-Tomato-Vine-Tomato_Iconic.jpg,True
80,Vegetables-Yellow-Onion_Iconic.jpg,True
81,Vegetables-Zucchini_Iconic.jpg,True
